state,fips,pop
Alabama,1,4908621
Alaska,2,734002
Arizona,4,7378494
Arkansas,5,3038999
California,6,39937489
Colorado,8,5845526
Connecticut,9,3563077
Delaware,10,982895
District of Columbia,11,720687
Florida,12,21992985
Georgia,13,10736059
Hawaii,15,1412687
Idaho,16,1826156
Illinois,17,12659682
Indiana,18,6745354
Iowa,19,3179849
Kansas,20,2910357
Kentucky,21,4499692
Louisiana,22,4645184
Maine,23,1345790
Maryland,24,6083116
Massachusetts,25,6976597
Michigan,26,10045029
Minnesota,27,5700671
Mississippi,28,2989260
Missouri,29,6169270
Montana,30,1086759
Nebraska,31,1952570
Nevada,32,3139658
New Hampshire,33,1371246
New Jersey,34,8936574
New Mexico,35,2096640
New York,36,19440469
North Carolina,37,10611862
North Dakota,38,761723
Ohio,39,11747694
Oklahoma,40,3954821
Oregon,41,4301089
Pennsylvania,42,12820878
Puerto Rico,72,3032165
Rhode Island,44,1056161
South Carolina,45,5210095
South Dakota,46,903027
Tennessee,47,6897576
Texas,48,29472295
Utah,49,3282115
Vermont,50,628061
Virginia,51,8626207
Washington,53,7797095
West Virginia,54,1778070
Wisconsin,55,5851754
Wyoming,56,567025
